subject,year,session,exercise,item_key,item_label,provider,model,api_model_id,mode,input_tokens,provider_output_tokens,visible_output_tokens,reasoning_tokens_reported,reasoning_tokens_analysis,combined_output_unseparated_tokens,billed_output_tokens,provider_total_tokens,analytical_total_tokens,reasoning_status,token_semantic_rule,input_cached_tokens,input_cache_miss_tokens,input_rate_usd_per_million,output_rate_usd_per_million,cost_input_estimated_usd,cost_output_estimated_usd,cost_reconstructed_usd,cost_provider_reported_usd,cost_selected_usd,cost_source,cost_scope,cost_provider_minus_reconstructed_usd,price_source_kind,price_source,elapsed_seconds,attempt_count,retry_count,finish_reason,reasoning_effort,thinking_level,thinking_mode,max_output_tokens,n_responses
analysis_3,2025,primoapp,1,analysis_3|2025|primoapp|E1,A3-25-P1-E1,anthropic,Claude Fable 5,claude-fable-5,effort_high,818.0,5991.333333333333,,,,5991.333333333333,5991.333333333333,6809.333333333333,6809.333333333333,not_separately_reported,anthropic_fable_output_includes_unseparated_hidden_thinking,,,10.0,50.0,0.00818,0.2995666666666667,0.30774666666666667,,0.30774666666666667,reconstructed_from_token_rates,successful_request,,official_provider_documentation,https://platform.claude.com/docs/en/about-claude/pricing,222.34337966666666,1.0,0.0,end_turn,high,,,16000.0,3
analysis_3,2025,primoapp,2,analysis_3|2025|primoapp|E2,A3-25-P1-E2,anthropic,Claude Fable 5,claude-fable-5,effort_high,814.0,7680.0,,,,7680.0,7680.0,8494.0,8494.0,not_separately_reported,anthropic_fable_output_includes_unseparated_hidden_thinking,,,10.0,50.0,0.00814,0.38400000000000006,0.39214,,0.39214,reconstructed_from_token_rates,successful_request,,official_provider_documentation,https://platform.claude.com/docs/en/about-claude/pricing,508.67342733333334,1.0,0.0,end_turn,high,,,16000.0,3
analysis_3,2025,primoapp,3,analysis_3|2025|primoapp|E3,A3-25-P1-E3,anthropic,Claude Fable 5,claude-fable-5,effort_high,943.0,14974.333333333334,,,,14974.333333333334,14974.333333333334,15917.333333333334,15917.333333333334,not_separately_reported,anthropic_fable_output_includes_unseparated_hidden_thinking,,,10.0,50.0,0.00943,0.7487166666666667,0.7581466666666667,,0.7581466666666667,reconstructed_from_token_rates,successful_request,,official_provider_documentation,https://platform.claude.com/docs/en/about-claude/pricing,327.67612633333334,1.0,0.0,end_turn,high,,,90666.66666666667,3
analysis_3,2025,quartoapp,1,analysis_3|2025|quartoapp|E1,A3-25-P4-E1,anthropic,Claude Fable 5,claude-fable-5,effort_high,960.0,10771.0,,,,10771.0,10771.0,11731.0,11731.0,not_separately_reported,anthropic_fable_output_includes_unseparated_hidden_thinking,,,10.0,50.0,0.0096,0.53855,0.54815,,0.54815,reconstructed_from_token_rates,successful_request,,official_provider_documentation,https://platform.claude.com/docs/en/about-claude/pricing,113.253297,1.0,0.0,end_turn,high,,,128000.0,1
analysis_3,2025,quartoapp,2,analysis_3|2025|quartoapp|E2,A3-25-P4-E2,anthropic,Claude Fable 5,claude-fable-5,effort_high,963.0,10708.0,,,,10708.0,10708.0,11671.0,11671.0,not_separately_reported,anthropic_fable_output_includes_unseparated_hidden_thinking,,,10.0,50.0,0.00963,0.5354,0.54503,,0.54503,reconstructed_from_token_rates,successful_request,,official_provider_documentation,https://platform.claude.com/docs/en/about-claude/pricing,112.600836,1.0,0.0,end_turn,high,,,128000.0,1
analysis_3,2025,quartoapp,3,analysis_3|2025|quartoapp|E3,A3-25-P4-E3,anthropic,Claude Fable 5,claude-fable-5,effort_high,797.0,9171.0,,,,9171.0,9171.0,9968.0,9968.0,not_separately_reported,anthropic_fable_output_includes_unseparated_hidden_thinking,,,10.0,50.0,0.00797,0.45855,0.46652,,0.46652,reconstructed_from_token_rates,successful_request,,official_provider_documentation,https://platform.claude.com/docs/en/about-claude/pricing,101.599711,1.0,0.0,end_turn,high,,,128000.0,1
analysis_3,2025,quintoapp,1,analysis_3|2025|quintoapp|E1,A3-25-P5-E1,anthropic,Claude Fable 5,claude-fable-5,effort_high,880.0,7457.0,,,,7457.0,7457.0,8337.0,8337.0,not_separately_reported,anthropic_fable_output_includes_unseparated_hidden_thinking,,,10.0,50.0,0.0088,0.37285,0.38165,,0.38165,reconstructed_from_token_rates,successful_request,,official_provider_documentation,https://platform.claude.com/docs/en/about-claude/pricing,80.486375,1.0,0.0,end_turn,high,,,128000.0,1
analysis_3,2025,quintoapp,2,analysis_3|2025|quintoapp|E2,A3-25-P5-E2,anthropic,Claude Fable 5,claude-fable-5,effort_high,1001.0,8381.0,,,,8381.0,8381.0,9382.0,9382.0,not_separately_reported,anthropic_fable_output_includes_unseparated_hidden_thinking,,,10.0,50.0,0.01001,0.41905,0.42906,,0.42906,reconstructed_from_token_rates,successful_request,,official_provider_documentation,https://platform.claude.com/docs/en/about-claude/pricing,84.265739,1.0,0.0,end_turn,high,,,128000.0,1
analysis_3,2025,quintoapp,3,analysis_3|2025|quintoapp|E3,A3-25-P5-E3,anthropic,Claude Fable 5,claude-fable-5,effort_high,899.0,7121.0,,,,7121.0,7121.0,8020.0,8020.0,not_separately_reported,anthropic_fable_output_includes_unseparated_hidden_thinking,,,10.0,50.0,0.00899,0.35605,0.36504,,0.36504,reconstructed_from_token_rates,successful_request,,official_provider_documentation,https://platform.claude.com/docs/en/about-claude/pricing,77.190679,1.0,0.0,end_turn,high,,,128000.0,1
analysis_3,2025,secondoapp,1,analysis_3|2025|secondoapp|E1,A3-25-P2-E1,anthropic,Claude Fable 5,claude-fable-5,effort_high,850.0,7965.0,,,,7965.0,7965.0,8815.0,8815.0,not_separately_reported,anthropic_fable_output_includes_unseparated_hidden_thinking,,,10.0,50.0,0.0085,0.39825,0.40675,,0.40675,reconstructed_from_token_rates,successful_request,,official_provider_documentation,https://platform.claude.com/docs/en/about-claude/pricing,78.474368,1.0,0.0,end_turn,high,,,128000.0,1
