item_key,item_label,subject,input_tokens_thinking,input_tokens_no_thinking,visible_output_tokens_thinking,visible_output_tokens_no_thinking,reasoning_tokens_thinking,reasoning_tokens_no_thinking,total_tokens_thinking,total_tokens_no_thinking,delta_total_tokens,cost_usd_thinking,cost_usd_no_thinking,delta_cost_usd,elapsed_seconds_thinking,elapsed_seconds_no_thinking
analysis_3|2025|primoapp|E1,A3-25-P1-E1,analysis_3,613.0,534.0,2186.0,4214.0,29266.0,0.0,32065.0,4748.0,27317.0,0.008892380000000002,0.0012546800000000002,0.007637700000000002,295.895377,31.396095
analysis_3|2025|primoapp|E2,A3-25-P1-E2,analysis_3,606.0,527.0,2845.0,7504.0,16047.0,0.0,19498.0,8031.0,11467.0,0.0053746,0.0021749,0.0031997,156.037461,52.944758
analysis_3|2025|primoapp|E3,A3-25-P1-E3,analysis_3,691.0,612.0,3212.0,3671.0,32311.0,0.0,36214.0,4283.0,31931.0,0.01004318,0.0011135600000000002,0.008929620000000001,348.234917,30.193215
analysis_3|2025|quartoapp|E1,A3-25-P4-E1,analysis_3,715.0,636.0,3358.0,8193.0,26647.0,0.0,30720.0,8829.0,21891.0,0.008501500000000002,0.00238308,0.006118420000000002,260.880856,64.244402
analysis_3|2025|quartoapp|E2,A3-25-P4-E2,analysis_3,713.0,634.0,2999.0,13298.0,31207.0,0.0,34919.0,13932.0,20987.0,0.0096775,0.003812200000000001,0.0058652999999999995,324.77359,105.339632
analysis_3|2025|quartoapp|E3,A3-25-P4-E3,analysis_3,602.0,523.0,2249.0,3974.0,16039.0,0.0,18890.0,4497.0,14393.0,0.00520492,0.00118594,0.00401898,1789.728269,28.764392
analysis_3|2025|quintoapp|E1,A3-25-P5-E1,analysis_3,667.0,588.0,2206.0,3314.0,14520.0,0.0,17393.0,3902.0,13491.0,0.00477666,0.0010102400000000001,0.0037664200000000004,160.219837,25.648898
analysis_3|2025|quintoapp|E2,A3-25-P5-E2,analysis_3,752.0,673.0,2897.0,5924.0,15123.0,0.0,18772.0,6597.0,12175.0,0.005150880000000001,0.0017529400000000004,0.0033979400000000003,154.035463,43.050768
analysis_3|2025|quintoapp|E3,A3-25-P5-E3,analysis_3,673.0,594.0,2463.0,9464.0,21755.0,0.0,24891.0,10058.0,14833.0,0.006875260000000001,0.00273308,0.0041421800000000005,212.785739,67.185549
analysis_3|2025|secondoapp|E1,A3-25-P2-E1,analysis_3,637.0,558.0,2053.0,4928.0,21351.0,0.0,24041.0,5486.0,18555.0,0.006642300000000001,0.0014579600000000003,0.005184340000000001,217.385165,37.225387
analysis_3|2025|secondoapp|E2,A3-25-P2-E2,analysis_3,656.0,577.0,3091.0,16658.0,22326.0,0.0,26073.0,17235.0,8838.0,0.007208600000000002,0.004745020000000001,0.002463580000000001,207.423176,133.646223
analysis_3|2025|secondoapp|E3,A3-25-P2-E3,analysis_3,614.0,535.0,1821.0,3485.0,14944.0,0.0,17379.0,4020.0,13359.0,0.004780160000000001,0.0010507000000000001,0.0037294600000000013,163.488454,26.709902
analysis_3|2025|terzoapp|E1,A3-25-P3-E1,analysis_3,673.0,594.0,3542.0,8153.0,19677.0,0.0,23892.0,8747.0,15145.0,0.00659554,0.002366,0.00422954,219.954814,54.629283
analysis_3|2025|terzoapp|E2,A3-25-P3-E2,analysis_3,738.0,659.0,3217.0,48109.0,38522.0,0.0,42477.0,48768.0,-6291.0,0.011790240000000002,0.01356278,-0.0017725399999999978,368.437759,353.52502
analysis_3|2025|terzoapp|E3,A3-25-P3-E3,analysis_3,669.0,590.0,3103.0,5866.0,23946.0,0.0,27718.0,6456.0,21262.0,0.0076673800000000005,0.0017250800000000001,0.0059423,241.867096,46.033634
analysis_3|2026|primoapp_tema_a|E1,A3-26-P1A-E1,analysis_3,636.0,557.0,2287.0,5344.0,15095.0,0.0,18018.0,5901.0,12117.0,0.004956,0.0015743000000000003,0.0033817,162.816452,40.348964
analysis_3|2026|primoapp_tema_a|E2,A3-26-P1A-E2,analysis_3,697.0,618.0,2500.0,6991.0,18307.0,0.0,21504.0,7609.0,13895.0,0.005923540000000001,0.0020440000000000002,0.0038795400000000003,174.089857,53.356167
analysis_3|2026|primoapp_tema_a|E3,A3-26-P1A-E3,analysis_3,663.0,584.0,2626.0,8847.0,21073.0,0.0,24362.0,9431.0,14931.0,0.006728540000000001,0.0025589200000000006,0.004169620000000001,205.145585,67.173879
analysis_3|2026|primoapp_tema_b|E1,A3-26-P1B-E1,analysis_3,637.0,558.0,2602.0,4817.0,18746.0,0.0,21985.0,5375.0,16610.0,0.006066620000000001,0.0014268800000000004,0.004639740000000001,177.083854,35.683194
analysis_3|2026|primoapp_tema_b|E2,A3-26-P1B-E2,analysis_3,696.0,617.0,2644.0,6819.0,14677.0,0.0,18017.0,7436.0,10581.0,0.00494732,0.0019957,0.00295162,144.892589,47.633358
analysis_3|2026|primoapp_tema_b|E3,A3-26-P1B-E3,analysis_3,666.0,587.0,2660.0,8997.0,19569.0,0.0,22895.0,9584.0,13311.0,0.00631736,0.00260134,0.00371602,199.564602,62.200219
analysis_3|2026|quartoapp|E1,A3-26-P4-E1,analysis_3,663.0,584.0,2664.0,4689.0,14538.0,0.0,17865.0,5273.0,12592.0,0.0049093800000000005,0.00139468,0.003514700000000001,134.907307,36.048504
analysis_3|2026|quartoapp|E2,A3-26-P4-E2,analysis_3,743.0,664.0,2778.0,7592.0,21018.0,0.0,24539.0,8256.0,16283.0,0.006766900000000001,0.0022187200000000004,0.004548180000000001,197.433155,49.528176
analysis_3|2026|quartoapp|E3,A3-26-P4-E3,analysis_3,608.0,529.0,1705.0,2831.0,8677.0,0.0,10990.0,3360.0,7630.0,0.0029920800000000007,0.0008667400000000001,0.0021253400000000007,84.065188,21.833804
analysis_3|2026|secondoapp_tema_a|E1,A3-26-P2A-E1,analysis_3,647.0,568.0,2601.0,6121.0,25852.0,0.0,29100.0,6689.0,22411.0,0.008057420000000001,0.0017934000000000001,0.00626402,270.455457,43.698359
analysis_3|2026|secondoapp_tema_a|E2,A3-26-P2A-E2,analysis_3,705.0,626.0,3736.0,29318.0,36119.0,0.0,40560.0,29944.0,10616.0,0.011258100000000002,0.00829668,0.002961420000000001,333.218859,232.97942
analysis_3|2026|secondoapp_tema_a|E3,A3-26-P2A-E3,analysis_3,591.0,512.0,2087.0,3297.0,13093.0,0.0,15771.0,3809.0,11962.0,0.004333140000000001,0.00099484,0.0033383000000000006,107.988586,21.281642
analysis_3|2026|secondoapp_tema_b|E1,A3-26-P2B-E1,analysis_3,647.0,568.0,2291.0,7115.0,32206.0,0.0,35144.0,7683.0,27461.0,0.009749740000000002,0.0020717200000000004,0.007678020000000001,290.723699,49.333709
analysis_3|2026|secondoapp_tema_b|E2,A3-26-P2B-E2,analysis_3,706.0,627.0,3620.0,11459.0,39268.0,0.0,43594.0,12086.0,31508.0,0.01210748,0.0032963000000000003,0.00881118,340.930739,78.918852
analysis_3|2026|secondoapp_tema_b|E3,A3-26-P2B-E3,analysis_3,591.0,512.0,1890.0,2749.0,13699.0,0.0,16180.0,3261.0,12919.0,0.004447660000000001,0.0008414,0.003606260000000001,118.839551,19.964085
analysis_3|2026|terzoapp|E1,A3-26-P3-E1,analysis_3,679.0,600.0,3491.0,9102.0,37895.0,0.0,42065.0,9702.0,32363.0,0.011683140000000002,0.0026325600000000004,0.00905058,629.231374,68.659848
