rank,model,dimension_T1,dimension_T2,dimension_T3,dimension_T4,dimension_T5,dimension_T6,dimension_T7,dimension_T8
1,GPT-5.6 Sol,99.87373737,99.86531987,99.77272727,99.86531987,100.0,99.81060606,99.78354978,100.0
2,Claude Fable 5,98.33333333,98.78787879,98.40909091,97.84511785,98.86363636,98.73737374,98.05194805,98.57142857
3,Gemini 3.5 Flash,97.68939394,97.996633,96.80555556,96.76767677,96.28787879,98.26388889,97.00577201,98.21428571
4,DeepSeek V4 Flash,96.25,97.57575758,97.46212121,97.42424242,95.90909091,97.44318182,96.96969697,97.85714286
5,Gemini 3.1 Pro Preview,96.59090909,96.95286195,96.66666667,96.27946128,96.28787879,97.19065657,96.06782107,97.26190476
6,DeepSeek V4 Pro,96.32575758,97.07070707,96.74242424,96.06060606,96.13636364,97.72727273,95.02164502,100.0
7,Grok 4.5,95.41666667,96.61616162,95.26515152,95.15151515,95.15151515,95.9280303,95.02164502,96.78571429
8,OpenAI o3,90.0,91.96969697,91.78030303,90.0,87.8030303,92.8030303,90.8008658,76.96428571
9,DeepSeek V4 Flash (no thinking),86.81818182,86.36363636,85.60606061,80.4040404,80.53030303,87.5,84.1991342,78.57142857
10,Gemma 4 31B IT,83.86363636,86.16161616,84.20454545,79.39393939,78.18181818,84.375,82.9004329,70.71428571
11,Grok 4.3,82.91666667,83.03030303,80.45454545,74.04040404,82.65151515,76.60984848,83.27922078,75.0
12,OpenAI GPT-4.1,71.02272727,70.4040404,62.99242424,54.34343434,64.54545455,61.83712121,62.28354978,32.67857143
13,Claude Sonnet 4.5,67.99242424,65.1010101,58.97727273,53.83838384,61.51515152,57.67045455,59.74025974,27.85714286
14,Claude Haiku 4.5,64.28030303,62.47474747,53.37121212,51.21212121,61.13636364,53.78787879,58.44155844,28.03571429
