rank,model,dimension_T1,dimension_T2,dimension_T3,dimension_T4,dimension_T5,dimension_T6,dimension_T7,dimension_T8
1,Gemini 3.1 Pro Preview,97.39197531,97.4691358,97.96296296,97.09876543,97.40740741,97.10648148,98.80952381,
2,Claude Fable 5,97.68518519,97.16049383,96.62037037,98.08641975,97.77777778,97.22222222,98.14814815,
3,DeepSeek V4 Flash,97.91666667,97.09876543,97.5,96.35802469,96.85185185,98.14814815,98.54497354,
4,GPT-5.6 Sol,95.83333333,97.5308642,98.24074074,97.1399177,97.40740741,97.22222222,98.94179894,
5,DeepSeek V4 Pro,96.80555556,97.16049383,97.5462963,96.2345679,96.2037037,96.64351852,97.35449735,
6,Gemini 3.5 Flash,97.03703704,96.66666667,96.38888889,95.18518519,97.31481481,96.875,96.56084656,
7,OpenAI o3,96.25,96.2962963,96.66666667,92.96296296,94.62962963,94.09722222,96.82539683,
8,Grok 4.5,93.84259259,94.13580247,94.30555556,90.37037037,92.96296296,92.59259259,96.2962963,
9,Grok 4.3,93.75,93.64197531,87.36111111,86.2345679,93.42592593,92.70833333,94.84126984,
10,Gemma 4 31B IT,91.48148148,92.71604938,87.03703704,82.22222222,89.62962963,88.88888889,92.98941799,
11,DeepSeek V4 Flash (no thinking),90.46296296,89.62962963,89.76851852,83.7037037,87.40740741,81.94444444,92.59259259,
12,Claude Sonnet 4.5,87.22222222,87.09876543,79.21296296,75.37037037,88.51851852,79.05092593,91.00529101,
13,OpenAI GPT-4.1,83.75,83.7037037,79.81481481,74.07407407,83.42592593,75.0,86.50793651,
14,Claude Haiku 4.5,77.5,75.92592593,72.22222222,63.88888889,74.81481481,70.02314815,83.73015873,
