model,provider,mode,n_exercises,input_tokens_total,input_tokens_mean,input_tokens_median,visible_output_tokens_total,visible_output_tokens_mean,reasoning_tokens_total,reasoning_tokens_mean,reasoning_coverage,combined_output_unseparated_tokens_total,provider_output_tokens_total,billed_output_tokens_total,billed_output_tokens_mean,billed_output_tokens_median,analytical_total_tokens_total,analytical_total_tokens_mean,analytical_total_tokens_median,analytical_total_tokens_ci95_low,analytical_total_tokens_ci95_high,reasoning_share_billed_output,cost_total_usd,cost_mean_usd,cost_median_usd,cost_q1_usd,cost_q3_usd,cost_min_usd,cost_max_usd,cost_mean_ci95_low_usd,cost_mean_ci95_high_usd,provider_reported_cost_rows,reconstructed_cost_rows,retry_rows,elapsed_seconds_total,elapsed_seconds_median,input_rate_usd_per_million,output_rate_usd_per_million,price_source_kind,price_source,provider_color,cost_rank_low_to_high,token_rank_low_to_high
Gemma 4 31B IT,google,thinking_disabled,60,38572.0,642.8666666666667,624.0,170640.0,2844.0,0.0,0.0,60,0,170640.0,170640.0,2844.0,2657.5,209212.0,3486.866666666667,3402.0,3274.1141666666667,3724.5354166666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,60,0,4789.423159000002,74.7638375,0.0,0.0,benchmark_configuration,benchmark_config_2026_primo_secondo_nine_models.json,#175CD3,1,2
DeepSeek V4 Flash (no thinking),deepseek,thinking_disabled,60,40423.0,673.7166666666667,644.5,403071.0,6717.85,0.0,0.0,60,0,403071.0,403071.0,6717.85,4872.5,443494.0,7391.566666666667,5506.0,5900.757083333333,9334.515416666658,0.0,0.11851909999999999,0.001975318333333334,0.0014493500000000003,0.0010226300000000003,0.002185855,0.0006074600000000001,0.01356278,0.0015549919000000007,0.0025172084583333326,0,60,0,3032.8617439999994,36.636945499999996,0.14,0.28,benchmark_configuration,benchmark_config_2026_primo_secondo_deepseek_xai.json,#5B4BCE,2,5
DeepSeek V4 Flash,deepseek,thinking_enabled_reasoning_high,60,45163.0,752.7166666666667,723.5,144300.0,2405.0,1206351.0,20105.85,60,0,1350651.0,1350651.0,22510.85,21077.5,1395814.0,23263.566666666666,21777.0,21168.9875,25506.681249999998,0.8931626304648648,0.38450510000000004,0.006408418333333334,0.005995080000000001,0.004731895000000001,0.00776489,0.00203448,0.01210748,0.00580832385,0.007023803383333335,0,60,1,13619.118591999999,188.020509,0.14,0.28,benchmark_configuration,benchmark_config_2026_primo_secondo_deepseek_xai.json,#5B4BCE,3,14
DeepSeek V4 Pro,deepseek,thinking_enabled_reasoning_high,60,40423.0,673.7166666666667,644.5,165274.0,2754.5666666666666,860705.0,14345.083333333334,60,0,1025979.0,1025979.0,17099.65,13559.5,1066402.0,17773.366666666665,14209.0,15075.791666666666,20922.96458333333,0.8389109328748444,0.9101857350000001,0.01516976225,0.0120927825,0.00909508875,0.016141001250000002,0.003637035,0.060595935,0.0128214035125,0.01787148326875,0,60,0,14637.619444000002,202.40901,0.435,0.87,benchmark_configuration,benchmark_config_2026_primo_secondo_deepseek_xai.json,#5B4BCE,4,13
Claude Haiku 4.5,anthropic,provider_default_no_thinking_parameter,60,46580.0,776.3333333333334,754.5,232362.0,3872.7,0.0,0.0,60,0,232362.0,232362.0,3872.7,3739.0,278942.0,4649.033333333334,4455.5,4393.2162499999995,4913.069166666667,0.0,1.20839,0.020139833333333336,0.0194395,0.015953500000000002,0.023834750000000002,0.01185,0.034968,0.0188508125,0.021500102083333337,0,60,0,1531.7842259999995,24.63947,1.0,5.0,benchmark_configuration,benchmark_config_2026_primo_secondo_nine_models.json,#9A4D00,5,3
Grok 4.3,xai,reasoning_high,60,45744.0,762.4,741.0,79593.0,1326.55,530808.0,8846.8,60,0,610401.0,610401.0,10173.35,8212.0,656145.0,10935.75,8945.5,9771.815833333334,12296.390416666665,0.8696053905547337,1.5744465,0.026240775,0.021242475,0.018673099999999998,0.0295259125,0.01184185,0.0882506,0.023336771875000006,0.029655807708333322,60,0,0,5341.8395120000005,73.74710999999999,1.25,2.5,benchmark_configuration,benchmark_config_2026_primo_secondo_deepseek_xai.json,#202124,6,9
OpenAI GPT-4.1,openai,no_native_reasoning,60,38540.0,642.3333333333334,619.0,272855.0,4547.583333333333,0.0,0.0,60,0,272855.0,272855.0,4547.583333333333,4208.5,311395.0,5189.916666666667,4934.0,4790.543333333334,5609.052083333333,0.0,2.25992,0.037665333333333335,0.035186999999999996,0.027676,0.0448245,0.017838,0.07961,0.034406870000000006,0.041154705833333326,0,60,0,2721.2424659999992,39.109943,2.0,8.0,benchmark_configuration,benchmark_config_2026_primo_secondo_nine_models.json,#087F72,7,4
Claude Sonnet 4.5,anthropic,provider_default,60,46580.0,776.3333333333334,754.5,155388.0,2589.8,0.0,0.0,60,0,155388.0,155388.0,2589.8,2492.0,201968.0,3366.133333333333,3227.0,3211.5833333333335,3527.4699999999993,0.0,2.47056,0.041176,0.039573,0.034061999999999995,0.047085749999999996,0.026175,0.068142,0.03888883125000001,0.04357717249999999,0,60,0,2369.7357379999994,37.355737500000004,3.0,15.0,benchmark_configuration,benchmark_config_2026_primo_secondo_nine_models.json,#9A4D00,8,1
Grok 4.5,xai,reasoning_high,60,48482.0,808.0333333333333,787.0,96633.0,1610.55,431110.0,7185.166666666667,60,0,527743.0,527743.0,8795.716666666667,6910.0,576225.0,9603.75,7739.0,8229.142916666666,11151.110416666665,0.8168938290038902,3.2503659999999996,0.05417276666666667,0.042900400000000005,0.0334809,0.0552819,0.0169264,0.1728324,0.045881775000000014,0.06336417583333331,60,0,0,9196.465730000002,113.793733,2.0,6.0,benchmark_configuration,benchmark_config_2026_primo_secondo_deepseek_xai.json,#202124,9,7
OpenAI o3,openai,reasoning_high,60,38480.0,641.3333333333334,618.0,98130.0,1635.5,507456.0,8457.6,60,0,605586.0,605586.0,10093.1,8493.5,644066.0,10734.433333333332,9137.0,9306.795833333332,12365.35375,0.8379586053838761,4.921648,0.08202746666666667,0.06923499999999999,0.050267,0.09062250000000001,0.02766,0.26893999999999996,0.07073349,0.09472917666666665,0,60,1,10094.311148000003,70.1950815,2.0,8.0,benchmark_configuration,benchmark_config_2026_primo_secondo_nine_models.json,#087F72,10,8
