rank,ranking_type,scope,model,provider,n_items,n_responses,scope_inventory_items,coverage_rate,accuracy_mean,accuracy_ci95_low,accuracy_ci95_high,accuracy_median,accuracy_sd_items,accuracy_iqr,accuracy_min,accuracy_max,perfect_item_rate,success_item_rate,repeated_cells,repeatability_sd_mean,repeatability_sd_median,dimension_T1,dimension_T2,dimension_T3,dimension_T4,dimension_T5,dimension_T6,dimension_T7,dimension_T8
1,matched_common_items,analysis_3,GPT-5.6 Sol,openai,33,39,33,1.0,99.85778841,99.58931419,100.0,100.0,0.72824109,0.0,95.83333333,100.0,0.93939394,1.0,3,2.26282354,0.0,99.87373737,99.86531987,99.77272727,99.86531987,100.0,99.81060606,99.78354978,100.0
2,matched_common_items,analysis_3,Claude Fable 5,anthropic,33,39,33,1.0,98.44138756,96.43580542,99.85805423,100.0,5.1537908,0.0,73.25,100.0,0.84848485,1.0,3,0.76376262,0.0,98.33333333,98.78787879,98.40909091,97.84511785,98.86363636,98.73737374,98.05194805,98.57142857
3,matched_common_items,analysis_3,Gemini 3.5 Flash,google,33,63,33,1.0,97.29173312,95.25171451,98.94139753,100.0,5.62873059,2.36842105,74.58333333,100.0,0.54545455,1.0,15,2.06099274,0.57735027,97.68939394,97.996633,96.80555556,96.76767677,96.28787879,98.26388889,97.00577201,98.21428571
4,matched_common_items,analysis_3,DeepSeek V4 Flash,deepseek,33,33,33,1.0,97.0976874,93.08729067,99.47049442,100.0,10.17664864,1.31578947,42.5,100.0,0.6969697,0.96969697,0,,,96.25,97.57575758,97.46212121,97.42424242,95.90909091,97.44318182,96.96969697,97.85714286
5,matched_common_items,analysis_3,Gemini 3.1 Pro Preview,google,33,39,33,1.0,96.62812334,93.99732523,98.63038277,99.21052632,6.95641592,3.0,66.08333333,100.0,0.45454545,1.0,3,1.87573372,1.36740853,96.59090909,96.95286195,96.66666667,96.27946128,96.28787879,97.19065657,96.06782107,97.26190476
6,matched_common_items,analysis_3,DeepSeek V4 Pro,deepseek,33,33,33,1.0,96.56658692,93.80299043,98.726874,100.0,7.39802627,2.10526316,64.75,100.0,0.60606061,1.0,0,,,96.32575758,97.07070707,96.74242424,96.06060606,96.13636364,97.72727273,95.02164502,100.0
7,matched_common_items,analysis_3,Grok 4.5,xai,33,33,33,1.0,95.5877193,91.670624,98.32297648,100.0,10.18012159,3.15789474,45.0,100.0,0.54545455,0.96969697,0,,,95.41666667,96.61616162,95.26515152,95.15151515,95.15151515,95.9280303,95.02164502,96.78571429
8,matched_common_items,analysis_3,OpenAI o3,openai,33,33,33,1.0,90.48783892,85.73958832,94.50423146,97.36842105,13.10105013,16.05263158,40.5,100.0,0.15151515,0.96969697,0,,,90.0,91.96969697,91.78030303,90.0,87.8030303,92.8030303,90.8008658,76.96428571
9,matched_common_items,analysis_3,DeepSeek V4 Flash (no thinking),deepseek,33,33,33,1.0,84.73285486,79.24041069,89.62842903,88.75,15.47103768,22.5,41.25,100.0,0.18181818,0.90909091,0,,,86.81818182,86.36363636,85.60606061,80.4040404,80.53030303,87.5,84.1991342,78.57142857
10,matched_common_items,analysis_3,Gemma 4 31B IT,google,33,33,33,1.0,82.79904306,77.01628788,88.16510167,82.63157895,16.52940176,25.52631579,36.0,100.0,0.09090909,0.90909091,0,,,83.86363636,86.16161616,84.20454545,79.39393939,78.18181818,84.375,82.9004329,70.71428571
11,matched_common_items,analysis_3,Grok 4.3,xai,33,33,33,1.0,80.39892345,71.86811703,88.05170455,90.52631579,24.21122844,28.52631579,15.26315789,100.0,0.21212121,0.84848485,0,,,82.91666667,83.03030303,80.45454545,74.04040404,82.65151515,76.60984848,83.27922078,75.0
12,matched_common_items,analysis_3,OpenAI GPT-4.1,openai,33,33,33,1.0,64.02432217,57.182187,70.74055024,64.47368421,20.11655816,30.25,23.5,94.0,0.0,0.60606061,0,,,71.02272727,70.4040404,62.99242424,54.34343434,64.54545455,61.83712121,62.28354978,32.67857143
13,matched_common_items,analysis_3,Claude Sonnet 4.5,anthropic,33,33,33,1.0,60.70773525,53.45679825,68.12882775,62.0,21.85034888,38.14473684,24.75,98.94736842,0.0,0.51515152,0,,,67.99242424,65.1010101,58.97727273,53.83838384,61.51515152,57.67045455,59.74025974,27.85714286
14,matched_common_items,analysis_3,Claude Haiku 4.5,anthropic,33,33,33,1.0,57.58951356,50.990625,64.19989035,62.0,19.5561948,34.81578947,23.5,89.47368421,0.0,0.51515152,0,,,64.28030303,62.47474747,53.37121212,51.21212121,61.13636364,53.78787879,58.44155844,28.03571429
