rank,ranking_type,scope,model,provider,n_items,n_responses,scope_inventory_items,coverage_rate,accuracy_mean,accuracy_ci95_low,accuracy_ci95_high,accuracy_median,accuracy_sd_items,accuracy_iqr,accuracy_min,accuracy_max,perfect_item_rate,success_item_rate,repeated_cells,repeatability_sd_mean,repeatability_sd_median,dimension_T1,dimension_T2,dimension_T3,dimension_T4,dimension_T5,dimension_T6,dimension_T7,dimension_T8
1,matched_common_items,overall,GPT-5.6 Sol,openai,60,78,60,1.0,98.71856725,97.04453582,99.86330409,100.0,5.7645623,0.0,62.63157895,100.0,0.86666667,1.0,9,0.82180086,0.0,98.05555556,98.81481481,99.08333333,98.63888889,98.83333333,98.64583333,99.4047619,100.0
2,matched_common_items,overall,Claude Fable 5,anthropic,60,78,60,1.0,97.99364035,96.15153509,99.38333333,100.0,6.56488126,0.0,60.52631579,100.0,0.8,1.0,9,0.25458754,0.0,98.04166667,98.05555556,97.60416667,97.9537037,98.375,98.05555556,98.0952381,98.57142857
3,matched_common_items,overall,DeepSeek V4 Flash,deepseek,60,60,60,1.0,97.2370614,94.66152961,99.15746711,100.0,9.17412921,1.05263158,42.5,100.0,0.7,0.98333333,0,,,97.0,97.36111111,97.47916667,96.94444444,96.33333333,97.76041667,97.67857143,97.85714286
4,matched_common_items,overall,Gemini 3.1 Pro Preview,google,60,78,60,1.0,97.04751462,95.11153326,98.60219481,100.0,6.97302253,1.77302631,65.52631579,100.0,0.55,1.0,9,0.69277092,0.0,96.95138889,97.18518518,97.25,96.64814815,96.79166667,97.15277778,97.3015873,97.26190476
5,matched_common_items,overall,Gemini 3.5 Flash,google,60,90,60,1.0,96.94904971,95.09568165,98.50595395,100.0,6.83887302,2.17105263,66.05263158,100.0,0.58333333,1.0,15,2.06099274,0.57735027,97.39583333,97.39814815,96.61805556,96.05555556,96.75,97.63888889,96.80555556,98.21428571
6,matched_common_items,overall,DeepSeek V4 Pro,deepseek,60,60,60,1.0,96.7125,94.76139254,98.3100932,100.0,7.11728129,1.90789473,64.75,100.0,0.6,1.0,0,,,96.54166667,97.11111111,97.10416667,96.13888889,96.16666667,97.23958333,96.07142857,100.0
7,matched_common_items,overall,Grok 4.5,xai,60,60,60,1.0,94.6127193,91.6552193,97.07653509,100.0,10.83643594,8.50328947,45.0,100.0,0.58333333,0.96666667,0,,,94.70833333,95.5,94.83333333,93.0,94.16666667,94.42708333,95.5952381,96.78571429
8,matched_common_items,overall,OpenAI o3,openai,60,60,60,1.0,92.75076754,89.73855811,95.3273602,98.59210526,11.18132985,9.07894737,40.5,100.0,0.26666667,0.98333333,0,,,92.8125,93.91666667,93.97916667,91.33333333,90.875,93.38541667,93.51190476,76.96428571
9,matched_common_items,overall,DeepSeek V4 Flash (no thinking),deepseek,60,60,60,1.0,86.30921053,82.72826206,89.67658443,89.0,13.80246405,19.60526316,41.25,100.0,0.18333333,0.95,0,,,88.45833333,87.83333333,87.47916667,81.88888889,83.625,85.0,87.97619048,78.57142857
10,matched_common_items,overall,Gemma 4 31B IT,google,60,60,60,1.0,85.57894737,81.5195011,89.34497807,90.2631579,15.67944042,22.03618421,36.0,100.0,0.2,0.93333333,0,,,87.29166667,89.11111111,85.47916667,80.66666667,83.33333333,86.40625,87.44047619,70.71428571
11,matched_common_items,overall,Grok 4.3,xai,60,60,60,1.0,85.24133772,79.76533717,90.11064419,93.81578948,20.62441194,20.19736842,15.26315789,100.0,0.33333333,0.88333333,0,,,87.79166667,87.80555556,83.5625,79.52777778,87.5,83.85416667,88.48214286,75.0
12,matched_common_items,overall,OpenAI GPT-4.1,openai,60,60,60,1.0,71.58179825,66.46402412,76.53422149,75.0,19.93801019,32.36842106,23.5,100.0,0.05,0.73333333,0,,,76.75,76.38888889,70.5625,63.22222222,73.04166667,67.76041667,73.18452381,32.67857143
13,matched_common_items,overall,Claude Sonnet 4.5,anthropic,60,60,60,1.0,70.90679825,65.30503838,76.41213268,73.02631579,22.38936658,37.88486842,24.75,100.0,0.08333333,0.7,0,,,76.64583333,75.0,68.08333333,63.52777778,73.66666667,67.29166667,73.80952381,27.85714286
14,matched_common_items,overall,Claude Haiku 4.5,anthropic,60,60,60,1.0,64.76633772,59.56939967,69.79957237,66.97368421,20.44251438,28.55263158,23.5,100.0,0.03333333,0.63333333,0,,,70.22916667,68.52777778,61.85416667,56.91666667,67.29166667,61.09375,69.82142857,28.03571429
