rank,ranking_type,scope,model,provider,n_items,n_responses,scope_inventory_items,coverage_rate,accuracy_mean,accuracy_ci95_low,accuracy_ci95_high,accuracy_median,accuracy_sd_items,accuracy_iqr,accuracy_min,accuracy_max,perfect_item_rate,success_item_rate,repeated_cells,repeatability_sd_mean,repeatability_sd_median,dimension_T1,dimension_T2,dimension_T3,dimension_T4,dimension_T5,dimension_T6,dimension_T7,dimension_T8
1,matched_common_items,physics_2,Gemini 3.1 Pro Preview,google,27,39,27,1.0,97.56010396,94.52566602,99.61013645,100.0,7.09096365,1.05263158,65.52631579,100.0,0.66666667,1.0,6,0.10128952,0.0,97.39197531,97.4691358,97.96296296,97.09876543,97.40740741,97.10648148,98.80952381,
2,matched_common_items,physics_2,Claude Fable 5,anthropic,27,39,27,1.0,97.44639376,94.03508772,99.73684211,100.0,8.03380046,0.52631579,60.52631579,100.0,0.74074074,1.0,6,0.0,0.0,97.68518519,97.16049383,96.62037037,98.08641975,97.77777778,97.22222222,98.14814815,
3,matched_common_items,physics_2,DeepSeek V4 Flash,deepseek,27,27,27,1.0,97.40740741,93.92763158,99.58089669,100.0,7.96684468,0.65789473,60.0,100.0,0.7037037,1.0,0,,,97.91666667,97.09876543,97.5,96.35802469,96.85185185,98.14814815,98.54497355,
4,matched_common_items,physics_2,GPT-5.6 Sol,openai,27,39,27,1.0,97.32618584,93.76868096,99.85380117,100.0,8.43170752,0.0,62.63157895,100.0,0.77777778,1.0,6,0.10128952,0.0,95.83333333,97.5308642,98.24074074,97.1399177,97.40740741,97.22222222,98.94179894,
5,matched_common_items,physics_2,DeepSeek V4 Pro,deepseek,27,27,27,1.0,96.89083821,94.01559454,99.08406433,100.0,6.89408666,1.44736842,70.0,100.0,0.59259259,1.0,0,,,96.80555556,97.16049383,97.5462963,96.2345679,96.2037037,96.64351852,97.35449735,
6,matched_common_items,physics_2,Gemini 3.5 Flash,google,27,27,27,1.0,96.53021442,93.16764132,99.08382066,100.0,8.17356372,1.71052632,66.05263158,100.0,0.62962963,1.0,0,,,97.03703704,96.66666667,96.38888889,95.18518519,97.31481481,96.875,96.56084656,
7,matched_common_items,physics_2,OpenAI o3,openai,27,27,27,1.0,95.5165692,92.417154,98.05068226,99.21052632,7.61672486,6.44736842,68.68421053,100.0,0.40740741,1.0,0,,,96.25,96.2962963,96.66666667,92.96296296,94.62962963,94.09722222,96.82539683,
8,matched_common_items,physics_2,Grok 4.5,xai,27,27,27,1.0,93.42105263,88.71345029,97.34892788,100.0,11.67219538,11.44736842,58.68421053,100.0,0.62962963,0.96296296,0,,,93.84259259,94.13580247,94.30555556,90.37037037,92.96296296,92.59259259,96.2962963,
9,matched_common_items,physics_2,Grok 4.3,xai,27,27,27,1.0,91.15984405,85.95492203,95.62402534,98.94736842,13.32890076,13.94736842,54.21052632,100.0,0.48148148,0.92592593,0,,,93.75,93.64197531,87.36111111,86.2345679,93.42592593,92.70833333,94.84126984,
10,matched_common_items,physics_2,Gemma 4 31B IT,google,27,27,27,1.0,88.97660819,83.44030214,93.75268031,92.63157895,14.13541654,14.86842106,41.31578947,100.0,0.33333333,0.96296296,0,,,91.48148148,92.71604938,87.03703704,82.22222222,89.62962963,88.88888889,92.98941799,
11,matched_common_items,physics_2,DeepSeek V4 Flash (no thinking),deepseek,27,27,27,1.0,88.23586745,83.90838207,92.36842105,90.52631579,11.43283195,18.55263158,65.0,100.0,0.18518519,1.0,0,,,90.46296296,89.62962963,89.76851852,83.7037037,87.40740741,81.94444444,92.59259259,
12,matched_common_items,physics_2,Claude Sonnet 4.5,anthropic,27,27,27,1.0,83.37231969,77.37816764,89.11330409,88.42105263,16.01625883,29.60526315,52.63157895,100.0,0.18518519,0.92592593,0,,,87.22222222,87.09876543,79.21296296,75.37037037,88.51851852,79.05092593,91.00529101,
13,matched_common_items,physics_2,OpenAI GPT-4.1,openai,27,27,27,1.0,80.81871345,74.80506823,86.4329922,85.52631579,15.58578697,23.55263158,50.0,100.0,0.11111111,0.88888889,0,,,83.75,83.7037037,79.81481481,74.07407407,83.42592593,75.0,86.50793651,
14,matched_common_items,physics_2,Claude Haiku 4.5,anthropic,27,27,27,1.0,73.5380117,66.77387914,80.15594542,73.42105263,18.22982487,23.02631579,27.89473684,100.0,0.07407407,0.77777778,0,,,77.5,75.92592593,72.22222222,63.88888889,74.81481481,70.02314815,83.73015873,
