rank,model,dimension_T1,dimension_T2,dimension_T3,dimension_T4,dimension_T5,dimension_T6,dimension_T7,dimension_T8
1,GPT-5.6 Sol,98.05555556,98.81481481,99.08333333,98.63888889,98.83333333,98.64583333,99.4047619,100.0
2,Claude Fable 5,98.04166667,98.05555556,97.60416667,97.9537037,98.375,98.05555556,98.0952381,98.57142857
3,DeepSeek V4 Flash,97.0,97.36111111,97.47916667,96.94444444,96.33333333,97.76041667,97.67857143,97.85714286
4,DeepSeek V4.1 Flash,97.89583333,98.61111111,98.3125,96.22222222,98.625,97.13541667,99.04761905,99.28571429
5,Gemini 3.1 Pro Preview,96.95138889,97.18518518,97.25,96.64814815,96.79166667,97.15277778,97.3015873,97.26190476
6,Gemini 3.5 Flash,97.39583333,97.39814815,96.61805556,96.05555556,96.75,97.63888889,96.80555556,98.21428571
7,DeepSeek V4 Pro,96.54166667,97.11111111,97.10416667,96.13888889,96.16666667,97.23958333,96.07142857,100.0
8,Grok 4.5,94.70833333,95.5,94.83333333,93.0,94.16666667,94.42708333,95.5952381,96.78571429
9,OpenAI o3,92.8125,93.91666667,93.97916667,91.33333333,90.875,93.38541667,93.51190476,76.96428571
10,Mistral Medium 3.5,88.16666667,86.83333333,87.52083333,87.02777778,84.41666667,88.64583333,87.05357143,67.5
11,DeepSeek V4 Flash (no thinking),88.45833333,87.83333333,87.47916667,81.88888889,83.625,85.0,87.97619048,78.57142857
12,Gemma 4 31B IT,87.29166667,89.11111111,85.47916667,80.66666667,83.33333333,86.40625,87.44047619,70.71428571
13,Mistral Small 4,86.8125,87.13888889,84.9375,83.41666667,85.0,85.10416667,88.00595238,61.60714286
14,Grok 4.3,87.79166667,87.80555556,83.5625,79.52777778,87.5,83.85416667,88.48214286,75.0
15,OpenAI GPT-4.1,76.75,76.38888889,70.5625,63.22222222,73.04166667,67.76041667,73.18452381,32.67857143
16,Claude Sonnet 4.5,76.64583333,75.0,68.08333333,63.52777778,73.66666667,67.29166667,73.80952381,27.85714286
17,Claude Haiku 4.5,70.22916667,68.52777778,61.85416667,56.91666667,67.29166667,61.09375,69.82142857,28.03571429
