model_display_name,provider,subject,year,session,exercise,item_key,n_responses,item_accuracy,response_sd,response_min,response_max,dimension_T1,dimension_T2,dimension_T3,dimension_T4,dimension_T5,dimension_T6,dimension_T7,dimension_T8,matched_overall,matched_analysis_3,matched_physics_2
Claude Fable 5,anthropic,analysis_3,2025,primoapp,1,analysis_3|2025|primoapp|E1,3,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,True,True,False
Claude Haiku 4.5,anthropic,analysis_3,2025,primoapp,1,analysis_3|2025|primoapp|E1,1,71.57894737,,71.57894737,71.57894737,61.25,83.33333333,73.75,70.0,87.5,40.625,85.71428571,,True,True,False
Claude Sonnet 4.5,anthropic,analysis_3,2025,primoapp,1,analysis_3|2025|primoapp|E1,1,87.10526316,,87.10526316,87.10526316,70.0,91.66666667,85.0,96.66666667,92.5,90.625,100.0,,True,True,False
DeepSeek V4 Flash,deepseek,analysis_3,2025,primoapp,1,analysis_3|2025|primoapp|E1,1,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,True,True,False
DeepSeek V4 Flash (no thinking),deepseek,analysis_3,2025,primoapp,1,analysis_3|2025|primoapp|E1,1,97.36842105,,97.36842105,97.36842105,95.0,100.0,100.0,96.66666667,97.5,90.625,100.0,,True,True,False
DeepSeek V4 Pro,deepseek,analysis_3,2025,primoapp,1,analysis_3|2025|primoapp|E1,1,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,True,True,False
GPT-5.6 Sol,openai,analysis_3,2025,primoapp,1,analysis_3|2025|primoapp|E1,3,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,True,True,False
Gemini 3.1 Pro Preview,google,analysis_3,2025,primoapp,1,analysis_3|2025|primoapp|E1,3,99.21052632,1.36740853,97.63157895,100.0,96.66666667,100.0,100.0,100.0,100.0,100.0,98.80952381,,True,True,False
Gemini 3.5 Flash,google,analysis_3,2025,primoapp,1,analysis_3|2025|primoapp|E1,3,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,True,True,False
Gemma 4 31B IT,google,analysis_3,2025,primoapp,1,analysis_3|2025|primoapp|E1,1,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,True,True,False
Grok 4.3,xai,analysis_3,2025,primoapp,1,analysis_3|2025|primoapp|E1,1,97.10526316,,97.10526316,97.10526316,96.25,100.0,100.0,86.66666667,100.0,100.0,100.0,,True,True,False
Grok 4.5,xai,analysis_3,2025,primoapp,1,analysis_3|2025|primoapp|E1,1,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,True,True,False
OpenAI GPT-4.1,openai,analysis_3,2025,primoapp,1,analysis_3|2025|primoapp|E1,1,77.36842105,,77.36842105,77.36842105,85.0,83.33333333,81.25,83.33333333,70.0,34.375,78.57142857,,True,True,False
OpenAI o3,openai,analysis_3,2025,primoapp,1,analysis_3|2025|primoapp|E1,1,99.47368421,,99.47368421,99.47368421,100.0,100.0,100.0,96.66666667,100.0,100.0,100.0,,True,True,False
Claude Fable 5,anthropic,analysis_3,2025,primoapp,2,analysis_3|2025|primoapp|E2,3,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,True,True,False
Claude Haiku 4.5,anthropic,analysis_3,2025,primoapp,2,analysis_3|2025|primoapp|E2,1,59.875,,59.875,59.875,50.0,56.66666667,61.25,90.0,47.5,75.0,42.85714286,37.5,True,True,False
Claude Sonnet 4.5,anthropic,analysis_3,2025,primoapp,2,analysis_3|2025|primoapp|E2,1,44.5,,44.5,44.5,42.5,48.33333333,45.0,63.33333333,35.0,37.5,53.57142857,0.0,True,True,False
DeepSeek V4 Flash,deepseek,analysis_3,2025,primoapp,2,analysis_3|2025|primoapp|E2,1,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,True,True,False
DeepSeek V4 Flash (no thinking),deepseek,analysis_3,2025,primoapp,2,analysis_3|2025|primoapp|E2,1,82.25,,82.25,82.25,80.0,86.66666667,75.0,90.0,77.5,100.0,57.14285714,100.0,True,True,False
DeepSeek V4 Pro,deepseek,analysis_3,2025,primoapp,2,analysis_3|2025|primoapp|E2,1,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,True,True,False
GPT-5.6 Sol,openai,analysis_3,2025,primoapp,2,analysis_3|2025|primoapp|E2,3,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,True,True,False
Gemini 3.1 Pro Preview,google,analysis_3,2025,primoapp,2,analysis_3|2025|primoapp|E2,3,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,True,True,False
Gemini 3.5 Flash,google,analysis_3,2025,primoapp,2,analysis_3|2025|primoapp|E2,3,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,True,True,False
Gemma 4 31B IT,google,analysis_3,2025,primoapp,2,analysis_3|2025|primoapp|E2,1,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,True,True,False
Grok 4.3,xai,analysis_3,2025,primoapp,2,analysis_3|2025|primoapp|E2,1,76.625,,76.625,76.625,77.5,75.0,75.0,86.66666667,77.5,81.25,73.21428571,50.0,True,True,False
Grok 4.5,xai,analysis_3,2025,primoapp,2,analysis_3|2025|primoapp|E2,1,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,True,True,False
OpenAI GPT-4.1,openai,analysis_3,2025,primoapp,2,analysis_3|2025|primoapp|E2,1,50.75,,50.75,50.75,60.0,61.66666667,41.25,40.0,62.5,50.0,44.64285714,37.5,True,True,False
OpenAI o3,openai,analysis_3,2025,primoapp,2,analysis_3|2025|primoapp|E2,1,91.875,,91.875,91.875,85.0,86.66666667,96.25,100.0,90.0,100.0,89.28571429,87.5,True,True,False
Claude Fable 5,anthropic,analysis_3,2025,primoapp,3,analysis_3|2025|primoapp|E3,3,73.25,2.29128785,70.75,75.25,70.0,80.0,70.0,68.88888889,82.5,83.33333333,42.85714286,100.0,True,True,False
Claude Haiku 4.5,anthropic,analysis_3,2025,primoapp,3,analysis_3|2025|primoapp|E3,1,23.5,,23.5,23.5,20.0,21.66666667,15.0,28.33333333,17.5,31.25,53.57142857,20.0,True,True,False
Claude Sonnet 4.5,anthropic,analysis_3,2025,primoapp,3,analysis_3|2025|primoapp|E3,1,31.0,,31.0,31.0,10.0,36.66666667,35.0,31.66666667,40.0,50.0,25.0,40.0,True,True,False
DeepSeek V4 Flash,deepseek,analysis_3,2025,primoapp,3,analysis_3|2025|primoapp|E3,1,42.5,,42.5,42.5,30.0,48.33333333,43.75,53.33333333,10.0,50.0,57.14285714,70.0,True,True,False
DeepSeek V4 Flash (no thinking),deepseek,analysis_3,2025,primoapp,3,analysis_3|2025|primoapp|E3,1,41.25,,41.25,41.25,25.0,48.33333333,43.75,48.33333333,10.0,68.75,46.42857143,65.0,True,True,False
DeepSeek V4 Pro,deepseek,analysis_3,2025,primoapp,3,analysis_3|2025|primoapp|E3,1,64.75,,64.75,64.75,52.5,66.66666667,63.75,66.66666667,77.5,62.5,53.57142857,100.0,True,True,False
GPT-5.6 Sol,openai,analysis_3,2025,primoapp,3,analysis_3|2025|primoapp|E3,3,95.83333333,6.78847062,88.0,100.0,95.83333333,95.55555556,95.0,95.55555556,100.0,93.75,92.85714286,100.0,True,True,False
Gemini 3.1 Pro Preview,google,analysis_3,2025,primoapp,3,analysis_3|2025|primoapp|E3,3,66.08333333,4.25979264,62.0,70.5,55.83333333,71.11111111,65.0,68.88888889,77.5,66.66666667,50.0,86.66666667,True,True,False
Gemini 3.5 Flash,google,analysis_3,2025,primoapp,3,analysis_3|2025|primoapp|E3,3,74.58333333,2.42813371,72.5,77.25,69.58333333,73.33333333,75.0,73.33333333,85.0,85.41666667,47.61904762,100.0,True,True,False
Gemma 4 31B IT,google,analysis_3,2025,primoapp,3,analysis_3|2025|primoapp|E3,1,36.0,,36.0,36.0,20.0,46.66666667,35.0,46.66666667,5.0,50.0,53.57142857,55.0,True,True,False
Grok 4.3,xai,analysis_3,2025,primoapp,3,analysis_3|2025|primoapp|E3,1,50.25,,50.25,50.25,42.5,43.33333333,55.0,55.0,65.0,37.5,39.28571429,75.0,True,True,False
Grok 4.5,xai,analysis_3,2025,primoapp,3,analysis_3|2025|primoapp|E3,1,45.0,,45.0,45.0,42.5,56.66666667,42.5,31.66666667,75.0,25.0,35.71428571,55.0,True,True,False
OpenAI GPT-4.1,openai,analysis_3,2025,primoapp,3,analysis_3|2025|primoapp|E3,1,27.25,,27.25,27.25,10.0,31.66666667,38.75,30.0,27.5,37.5,14.28571429,30.0,True,True,False
OpenAI o3,openai,analysis_3,2025,primoapp,3,analysis_3|2025|primoapp|E3,1,40.5,,40.5,40.5,27.5,41.66666667,40.0,46.66666667,35.0,50.0,64.28571429,35.0,True,True,False
Claude Fable 5,anthropic,analysis_3,2025,quartoapp,1,analysis_3|2025|quartoapp|E1,1,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,True,True,False
Claude Haiku 4.5,anthropic,analysis_3,2025,quartoapp,1,analysis_3|2025|quartoapp|E1,1,64.47368421,,64.47368421,64.47368421,77.5,58.33333333,52.5,61.66666667,90.0,37.5,75.0,,True,True,False
Claude Sonnet 4.5,anthropic,analysis_3,2025,quartoapp,1,analysis_3|2025|quartoapp|E1,1,77.89473684,,77.89473684,77.89473684,85.0,76.66666667,72.5,63.33333333,90.0,87.5,78.57142857,,True,True,False
DeepSeek V4 Flash,deepseek,analysis_3,2025,quartoapp,1,analysis_3|2025|quartoapp|E1,1,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,True,True,False
DeepSeek V4 Flash (no thinking),deepseek,analysis_3,2025,quartoapp,1,analysis_3|2025|quartoapp|E1,1,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,True,True,False
DeepSeek V4 Pro,deepseek,analysis_3,2025,quartoapp,1,analysis_3|2025|quartoapp|E1,1,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,True,True,False
GPT-5.6 Sol,openai,analysis_3,2025,quartoapp,1,analysis_3|2025|quartoapp|E1,1,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,True,True,False
Gemini 3.1 Pro Preview,google,analysis_3,2025,quartoapp,1,analysis_3|2025|quartoapp|E1,1,94.21052632,,94.21052632,94.21052632,85.0,100.0,100.0,83.33333333,100.0,100.0,100.0,,True,True,False
Gemini 3.5 Flash,google,analysis_3,2025,quartoapp,1,analysis_3|2025|quartoapp|E1,3,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,True,True,False
Gemma 4 31B IT,google,analysis_3,2025,quartoapp,1,analysis_3|2025|quartoapp|E1,1,96.57894737,,96.57894737,96.57894737,90.0,100.0,100.0,91.66666667,100.0,100.0,100.0,,True,True,False
Grok 4.3,xai,analysis_3,2025,quartoapp,1,analysis_3|2025|quartoapp|E1,1,69.47368421,,69.47368421,69.47368421,75.0,75.0,60.0,50.0,90.0,62.5,89.28571429,,True,True,False
Grok 4.5,xai,analysis_3,2025,quartoapp,1,analysis_3|2025|quartoapp|E1,1,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,True,True,False
OpenAI GPT-4.1,openai,analysis_3,2025,quartoapp,1,analysis_3|2025|quartoapp|E1,1,81.84210526,,81.84210526,81.84210526,90.0,80.0,67.5,83.33333333,90.0,81.25,89.28571429,,True,True,False
OpenAI o3,openai,analysis_3,2025,quartoapp,1,analysis_3|2025|quartoapp|E1,1,97.89473684,,97.89473684,97.89473684,90.0,100.0,100.0,100.0,100.0,100.0,100.0,,True,True,False
Claude Fable 5,anthropic,analysis_3,2025,quartoapp,2,analysis_3|2025|quartoapp|E2,1,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,True,True,False
Claude Haiku 4.5,anthropic,analysis_3,2025,quartoapp,2,analysis_3|2025|quartoapp|E2,1,35.25,,35.25,35.25,32.5,45.0,31.25,23.33333333,32.5,62.5,50.0,10.0,True,True,False
Claude Sonnet 4.5,anthropic,analysis_3,2025,quartoapp,2,analysis_3|2025|quartoapp|E2,1,46.0,,46.0,46.0,50.0,65.0,41.25,45.0,42.5,50.0,42.85714286,0.0,True,True,False
DeepSeek V4 Flash,deepseek,analysis_3,2025,quartoapp,2,analysis_3|2025|quartoapp|E2,1,93.5,,93.5,93.5,93.75,100.0,93.75,90.0,85.0,100.0,85.71428571,100.0,True,True,False
DeepSeek V4 Flash (no thinking),deepseek,analysis_3,2025,quartoapp,2,analysis_3|2025|quartoapp|E2,1,68.0,,68.0,68.0,67.5,61.66666667,72.5,70.0,70.0,62.5,78.57142857,55.0,True,True,False
DeepSeek V4 Pro,deepseek,analysis_3,2025,quartoapp,2,analysis_3|2025|quartoapp|E2,1,98.75,,98.75,98.75,93.75,100.0,100.0,100.0,100.0,100.0,100.0,100.0,True,True,False
GPT-5.6 Sol,openai,analysis_3,2025,quartoapp,2,analysis_3|2025|quartoapp|E2,1,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,True,True,False
Gemini 3.1 Pro Preview,google,analysis_3,2025,quartoapp,2,analysis_3|2025|quartoapp|E2,1,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,True,True,False
Gemini 3.5 Flash,google,analysis_3,2025,quartoapp,2,analysis_3|2025|quartoapp|E2,3,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,True,True,False
Gemma 4 31B IT,google,analysis_3,2025,quartoapp,2,analysis_3|2025|quartoapp|E2,1,76.75,,76.75,76.75,65.0,83.33333333,82.5,73.33333333,77.5,100.0,85.71428571,40.0,True,True,False
Grok 4.3,xai,analysis_3,2025,quartoapp,2,analysis_3|2025|quartoapp|E2,1,92.0,,92.0,92.0,80.0,100.0,100.0,73.33333333,100.0,100.0,100.0,100.0,True,True,False
Grok 4.5,xai,analysis_3,2025,quartoapp,2,analysis_3|2025|quartoapp|E2,1,91.0,,91.0,91.0,100.0,100.0,87.5,90.0,70.0,100.0,71.42857143,100.0,True,True,False
OpenAI GPT-4.1,openai,analysis_3,2025,quartoapp,2,analysis_3|2025|quartoapp|E2,1,48.75,,48.75,48.75,52.5,65.0,47.5,30.0,50.0,75.0,50.0,0.0,True,True,False
OpenAI o3,openai,analysis_3,2025,quartoapp,2,analysis_3|2025|quartoapp|E2,1,82.0,,82.0,82.0,85.0,75.0,82.5,100.0,77.5,87.5,78.57142857,40.0,True,True,False
Claude Fable 5,anthropic,analysis_3,2025,quartoapp,3,analysis_3|2025|quartoapp|E3,1,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,True,True,False
Claude Haiku 4.5,anthropic,analysis_3,2025,quartoapp,3,analysis_3|2025|quartoapp|E3,1,65.52631579,,65.52631579,65.52631579,81.25,66.66666667,50.0,55.0,70.0,71.875,71.42857143,,True,True,False
Claude Sonnet 4.5,anthropic,analysis_3,2025,quartoapp,3,analysis_3|2025|quartoapp|E3,1,45.0,,45.0,45.0,56.25,41.66666667,50.0,30.0,30.0,59.375,42.85714286,,True,True,False
DeepSeek V4 Flash,deepseek,analysis_3,2025,quartoapp,3,analysis_3|2025|quartoapp|E3,1,98.68421053,,98.68421053,98.68421053,100.0,100.0,100.0,95.0,100.0,93.75,100.0,,True,True,False
DeepSeek V4 Flash (no thinking),deepseek,analysis_3,2025,quartoapp,3,analysis_3|2025|quartoapp|E3,1,82.10526316,,82.10526316,82.10526316,100.0,83.33333333,75.0,75.0,77.5,81.25,71.42857143,,True,True,False
DeepSeek V4 Pro,deepseek,analysis_3,2025,quartoapp,3,analysis_3|2025|quartoapp|E3,1,83.68421053,,83.68421053,83.68421053,100.0,83.33333333,75.0,80.0,77.5,90.625,71.42857143,,True,True,False
GPT-5.6 Sol,openai,analysis_3,2025,quartoapp,3,analysis_3|2025|quartoapp|E3,1,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,True,True,False
Gemini 3.1 Pro Preview,google,analysis_3,2025,quartoapp,3,analysis_3|2025|quartoapp|E3,1,81.84210526,,81.84210526,81.84210526,100.0,83.33333333,75.0,80.0,77.5,68.75,71.42857143,,True,True,False
Gemini 3.5 Flash,google,analysis_3,2025,quartoapp,3,analysis_3|2025|quartoapp|E3,3,85.61403509,12.74166213,73.94736842,99.21052632,100.0,86.11111111,83.33333333,71.66666667,82.5,88.54166667,80.95238095,,True,True,False
Gemma 4 31B IT,google,analysis_3,2025,quartoapp,3,analysis_3|2025|quartoapp|E3,1,58.15789474,,58.15789474,58.15789474,81.25,50.0,50.0,50.0,50.0,50.0,71.42857143,,True,True,False
Grok 4.3,xai,analysis_3,2025,quartoapp,3,analysis_3|2025|quartoapp|E3,1,93.15789474,,93.15789474,93.15789474,100.0,83.33333333,100.0,90.0,92.5,90.625,85.71428571,,True,True,False
Grok 4.5,xai,analysis_3,2025,quartoapp,3,analysis_3|2025|quartoapp|E3,1,82.89473684,,82.89473684,82.89473684,100.0,83.33333333,75.0,80.0,77.5,81.25,71.42857143,,True,True,False
OpenAI GPT-4.1,openai,analysis_3,2025,quartoapp,3,analysis_3|2025|quartoapp|E3,1,74.73684211,,74.73684211,74.73684211,100.0,83.33333333,62.5,55.0,77.5,62.5,71.42857143,,True,True,False
OpenAI o3,openai,analysis_3,2025,quartoapp,3,analysis_3|2025|quartoapp|E3,1,80.52631579,,80.52631579,80.52631579,100.0,83.33333333,75.0,65.0,77.5,81.25,71.42857143,,True,True,False
Claude Fable 5,anthropic,analysis_3,2025,quintoapp,1,analysis_3|2025|quintoapp|E1,1,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,True,True,False
Claude Haiku 4.5,anthropic,analysis_3,2025,quintoapp,1,analysis_3|2025|quintoapp|E1,1,67.89473684,,67.89473684,67.89473684,50.0,93.33333333,71.25,38.33333333,100.0,65.625,75.0,,True,True,False
Claude Sonnet 4.5,anthropic,analysis_3,2025,quintoapp,1,analysis_3|2025|quintoapp|E1,1,98.42105263,,98.42105263,98.42105263,92.5,100.0,100.0,100.0,100.0,100.0,100.0,,True,True,False
DeepSeek V4 Flash,deepseek,analysis_3,2025,quintoapp,1,analysis_3|2025|quintoapp|E1,1,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,True,True,False
DeepSeek V4 Flash (no thinking),deepseek,analysis_3,2025,quintoapp,1,analysis_3|2025|quintoapp|E1,1,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,True,True,False
DeepSeek V4 Pro,deepseek,analysis_3,2025,quintoapp,1,analysis_3|2025|quintoapp|E1,1,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,True,True,False
GPT-5.6 Sol,openai,analysis_3,2025,quintoapp,1,analysis_3|2025|quintoapp|E1,1,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,True,True,False
Gemini 3.1 Pro Preview,google,analysis_3,2025,quintoapp,1,analysis_3|2025|quintoapp|E1,1,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,True,True,False
Gemini 3.5 Flash,google,analysis_3,2025,quintoapp,1,analysis_3|2025|quintoapp|E1,3,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,True,True,False
Gemma 4 31B IT,google,analysis_3,2025,quintoapp,1,analysis_3|2025|quintoapp|E1,1,98.42105263,,98.42105263,98.42105263,92.5,100.0,100.0,100.0,100.0,100.0,100.0,,True,True,False
Grok 4.3,xai,analysis_3,2025,quintoapp,1,analysis_3|2025|quintoapp|E1,1,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,True,True,False
Grok 4.5,xai,analysis_3,2025,quintoapp,1,analysis_3|2025|quintoapp|E1,1,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,True,True,False
OpenAI GPT-4.1,openai,analysis_3,2025,quintoapp,1,analysis_3|2025|quintoapp|E1,1,87.36842105,,87.36842105,87.36842105,77.5,100.0,81.25,75.0,100.0,100.0,100.0,,True,True,False
OpenAI o3,openai,analysis_3,2025,quintoapp,1,analysis_3|2025|quintoapp|E1,1,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,True,True,False
Claude Fable 5,anthropic,analysis_3,2025,quintoapp,2,analysis_3|2025|quintoapp|E2,1,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,True,True,False
Claude Haiku 4.5,anthropic,analysis_3,2025,quintoapp,2,analysis_3|2025|quintoapp|E2,1,41.5,,41.5,41.5,56.25,30.0,36.25,28.33333333,40.0,56.25,46.42857143,50.0,True,True,False
Claude Sonnet 4.5,anthropic,analysis_3,2025,quintoapp,2,analysis_3|2025|quintoapp|E2,1,63.5,,63.5,63.5,86.25,63.33333333,55.0,73.33333333,62.5,62.5,50.0,0.0,True,True,False
DeepSeek V4 Flash,deepseek,analysis_3,2025,quintoapp,2,analysis_3|2025|quintoapp|E2,1,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,True,True,False
DeepSeek V4 Flash (no thinking),deepseek,analysis_3,2025,quintoapp,2,analysis_3|2025|quintoapp|E2,1,89.25,,89.25,89.25,82.5,91.66666667,91.25,86.66666667,92.5,93.75,85.71428571,100.0,True,True,False
DeepSeek V4 Pro,deepseek,analysis_3,2025,quintoapp,2,analysis_3|2025|quintoapp|E2,1,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,True,True,False
GPT-5.6 Sol,openai,analysis_3,2025,quintoapp,2,analysis_3|2025|quintoapp|E2,1,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,True,True,False
Gemini 3.1 Pro Preview,google,analysis_3,2025,quintoapp,2,analysis_3|2025|quintoapp|E2,1,98.5,,98.5,98.5,92.5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,True,True,False
Gemini 3.5 Flash,google,analysis_3,2025,quintoapp,2,analysis_3|2025|quintoapp|E2,3,97.91666667,2.6020825,95.0,100.0,95.41666667,100.0,94.16666667,100.0,100.0,100.0,100.0,100.0,True,True,False
Gemma 4 31B IT,google,analysis_3,2025,quintoapp,2,analysis_3|2025|quintoapp|E2,1,96.75,,96.75,96.75,86.25,100.0,100.0,100.0,100.0,93.75,100.0,100.0,True,True,False
